Date,Confirmed
2020-01-22,555.0
2020-01-23,654.0
2020-01-24,941.0
2020-01-25,1434.0
2020-01-26,2118.0
2020-01-27,2927.0
2020-01-28,5578.0
2020-01-29,6166.0
2020-01-30,8234.0
2020-01-31,9927.0
2020-02-01,12038.0
2020-02-02,16787.0
2020-02-03,19881.0
2020-02-04,23892.0
2020-02-05,27635.0
2020-02-06,30794.0
2020-02-07,34391.0
2020-02-08,37120.0
2020-02-09,40150.0
2020-02-10,42762.0
2020-02-11,44802.0
2020-02-12,45221.0
2020-02-13,60368.0
2020-02-14,66885.0
2020-02-15,69030.0
2020-02-16,71224.0
2020-02-17,73258.0
2020-02-18,75136.0
2020-02-19,75639.0
2020-02-20,76197.0
2020-02-21,76819.0
2020-02-22,78572.0
2020-02-23,78958.0
2020-02-24,79561.0
2020-02-25,80406.0
2020-02-26,81388.0
2020-02-27,82746.0
2020-02-28,84112.0
2020-02-29,86011.0
2020-03-01,88369.0
2020-03-02,90306.0
2020-03-03,92840.0
2020-03-04,95120.0
2020-03-05,97888.0
2020-03-06,101806.0
2020-03-07,105848.0
2020-03-08,109822.0
2020-03-09,113595.0
2020-03-10,118623.0
2020-03-11,125879.0
2020-03-12,131007.0
2020-03-13,145225.0
2020-03-14,156120.0
2020-03-15,167507.0
2020-03-16,181653.0
2020-03-17,197150.0
2020-03-18,214873.0
2020-03-19,242632.0
2020-03-20,272264.0
2020-03-21,304580.0
2020-03-22,337022.0
2020-03-23,378301.0
2020-03-24,418295.0
2020-03-25,467817.0
2020-03-26,529722.0
2020-03-27,593764.0
2020-03-28,661174.0
2020-03-29,720291.0
2020-03-30,782816.0
2020-03-31,857608.0
2020-04-01,933010.0
2020-04-02,1013863.0
2020-04-03,1096324.0
2020-04-04,1176436.0
2020-04-05,1249743.0
2020-04-06,1321436.0
2020-04-07,1396438.0
2020-04-08,1480232.0
2020-04-09,1566102.0
2020-04-10,1658261.0
2020-04-11,1736412.0
2020-04-12,1835145.0
2020-04-13,1905165.0
2020-04-14,1975566.0
2020-04-15,2055748.0
2020-04-16,2152181.0
2020-04-17,2239990.0
2020-04-18,2317636.0
2020-04-19,2400787.0
2020-04-20,2472109.0
2020-04-21,2549046.0
2020-04-22,2624608.0
2020-04-23,2708403.0
2020-04-24,2795731.0
2020-04-25,2881140.0
2020-04-26,2955033.0
2020-04-27,3023722.0
2020-04-28,3097229.0
2020-04-29,3172287.0
2020-04-30,3256910.0
2020-05-01,3345558.0
2020-05-02,3427584.0
2020-05-03,3506729.0
2020-05-04,3583055.0
2020-05-05,3662691.0
2020-05-06,3756069.0
2020-05-07,3845718.0
2020-05-08,3938064.0
2020-05-09,4024009.0
2020-05-10,4101699.0
2020-05-11,4177502.0
2020-05-12,4261747.0
2020-05-13,4347018.0
2020-05-14,4442163.0
2020-05-15,4542347.0
2020-05-16,4634068.0
2020-05-17,4713620.0
2020-05-18,4801943.0
2020-05-19,4897492.0
2020-05-20,4996472.0
2020-05-21,5102424.0
2020-05-22,5211156.0
2020-05-23,5311020.0
2020-05-24,5407613.0
2020-05-25,5495061.0
2020-05-26,5589626.0
2020-05-27,5691790.0
2020-05-28,5808946.0
2020-05-29,5924275.0
2020-05-30,6059017.0
